IATA_Airline,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.0,421.0,1533.0,541.0,221.0,148.0,657.0,1118.0,143.0,89.0,255.0,116.0,341.0,632.0,186.0,385.0,214.0,563.0,758.0,667.0,112.0,113.0,40.0,246.0
AA,900.0,2554.0,1428.0,354.0,884.0,539.0,562.0,790.0,353.0,725.0,552.0,1278.0,2720.0,1003.0,431.0,660.0,493.0,831.0,1432.0,1498.0,243.0,825.0,181.0,550.0,980.0,791.0,1225.0,745.0,498.0,1294.0,1506.0,994.0,3328.0,362.0,103.0,312.0,1478.0,855.0,2489.0,456.0,966.0,1397.0,1873.0,1417.0,1442.0,676.0,510.0,1386.0,1511.0,860.0,1719.0,2634.0,2772.0,3671.0,2554.0,1869.0,1130.0,867.0,387.0,177.0
AS,64.0,113.0,39.0,65.0,45.0,60.0,49.0,36.0,26.0,33.0,46.0,93.0,139.0,79.0,108.0,16.0,33.0,35.0,20.0,25.0,34.0,84.0,10.0,232.0,257.0,294.0,98.0,62.0,82.0,91.0,69.0,109.0,109.0,77.0,135.0,125.0,142.0,89.0,132.0,127.0,149.0,209.0,202.0,306.0,168.0,180.0,300.0,203.0,429.0,874.0,267.0,164.0,116.0,206.0,139.0,228.0,117.0,121.0,175.0,241.0
B6,1102.0,1296.0,458.0,139.0,172.0,231.0,225.0,255.0,90.0,130.0,112.0,66.0,897.0,559.0,118.0,173.0,88.0,201.0,510.0,315.0,110.0,536.0,42.0,248.0,525.0,985.0,1018.0,374.0,676.0,621.0,659.0,584.0,2233.0,505.0,64.0,44.0,1471.0,358.0,1703.0,331.0,330.0,253.0,643.0,700.0,260.0,142.0,175.0,53.0,980.0,345.0,425.0,363.0,81.0,120.0,403.0,248.0,505.0,96.0,15.0,183.0
DL,678.0,1696.0,524.0,147.0,143.0,239.0,106.0,69.0,6.0,17.0,14.0,185.0,974.0,313.0,58.0,53.0,39.0,13.0,241.0,1807.0,10.0,473.0,0.0,135.0,782.0,356.0,439.0,3151.0,56.0,93.0,36.0,191.0,1705.0,10.0,0.0,2141.0,1539.0,70.0,869.0,268.0,23.0,131.0,128.0,156.0,112.0,74.0,104.0,54.0,328.0,64.0,66.0,146.0,0.0,167.0,355.0,216.0,407.0,10.0,57.0,26.0
EV,1702.0,3002.0,2135.0,929.0,1041.0,1742.0,909.0,728.0,266.0,477.0,783.0,1517.0,1427.0,1465.0,611.0,623.0,452.0,1254.0,2319.0,1609.0,324.0,318.0,345.0,1142.0,1159.0,657.0,1284.0,911.0,726.0,654.0,884.0,1945.0,996.0,329.0,65.0,356.0,997.0,386.0,937.0,243.0,180.0,173.0,461.0,636.0,284.0,330.0,413.0,630.0,964.0,527.0,432.0,848.0,551.0,602.0,569.0,671.0,504.0,96.0,89.0,233.0
F9,89.0,108.0,61.0,38.0,25.0,54.0,33.0,26.0,21.0,12.0,36.0,85.0,77.0,104.0,181.0,28.0,21.0,7.0,31.0,36.0,43.0,122.0,6.0,523.0,162.0,51.0,91.0,27.0,42.0,23.0,45.0,106.0,274.0,50.0,18.0,77.0,188.0,111.0,176.0,93.0,100.0,291.0,409.0,268.0,326.0,183.0,113.0,70.0,151.0,107.0,182.0,182.0,129.0,310.0,288.0,202.0,305.0,188.0,98.0,139.0
G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,29.0,45.0,30.0,26.0,220.0,165.0,13.0,65.0,26.0,30.0,62.0,50.0,91.0,42.0,64.0,13.0,54.0,41.0,24.0,144.0,6.0,25.0,70.0
HA,26.0,3.0,13.0,11.0,7.0,10.0,11.0,44.0,24.0,12.0,5.0,5.0,4.0,3.0,9.0,6.0,17.0,11.0,16.0,17.0,9.0,6.0,11.0,9.0,18.0,13.0,23.0,13.0,12.0,13.0,21.0,21.0,23.0,25.0,25.0,23.0,11.0,20.0,37.0,10.0,8.0,25.0,10.0,39.0,49.0,13.0,22.0,6.0,7.0,13.0,8.0,7.0,2.0,25.0,5.0,16.0,18.0,16.0,12.0,8.0
MQ,2288.0,3887.0,2031.0,858.0,947.0,1326.0,634.0,703.0,368.0,273.0,905.0,805.0,,,,,,,,,,,,,,,,,,,,,,,,,861.0,1269.0,758.0,580.0,939.0,1228.0,1070.0,1200.0,876.0,523.0,779.0,572.0,1939.0,1417.0,379.0,1038.0,1034.0,1297.0,1298.0,1038.0,776.0,420.0,415.0,379.0
NK,98.0,266.0,139.0,64.0,225.0,479.0,131.0,186.0,68.0,61.0,105.0,182.0,308.0,404.0,174.0,193.0,164.0,270.0,251.0,197.0,49.0,295.0,38.0,286.0,441.0,199.0,321.0,229.0,840.0,549.0,416.0,486.0,1350.0,81.0,50.0,179.0,369.0,177.0,257.0,100.0,83.0,83.0,156.0,210.0,142.0,32.0,76.0,52.0,199.0,207.0,120.0,458.0,241.0,321.0,417.0,564.0,763.0,114.0,88.0,98.0
OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.0,550.0,1231.0,454.0,557.0,3300.0,628.0,555.0,1224.0,441.0,358.0,1019.0,751.0,1013.0,414.0,550.0,523.0,502.0,846.0,956.0,475.0,316.0,207.0,273.0
OO,1262.0,1403.0,544.0,714.0,619.0,1108.0,821.0,794.0,352.0,241.0,707.0,1395.0,984.0,1092.0,1214.0,694.0,305.0,422.0,501.0,356.0,187.0,533.0,328.0,1830.0,1880.0,1115.0,1110.0,914.0,400.0,590.0,814.0,1015.0,366.0,963.0,390.0,901.0,1562.0,1543.0,978.0,830.0,684.0,723.0,642.0,1098.0,544.0,311.0,847.0,848.0,2821.0,2799.0,1609.0,1420.0,1163.0,970.0,1021.0,886.0,1320.0,725.0,1188.0,1531.0
UA,967.0,1006.0,641.0,370.0,348.0,1105.0,468.0,341.0,106.0,128.0,307.0,786.0,1336.0,348.0,483.0,650.0,247.0,357.0,561.0,313.0,175.0,349.0,116.0,535.0,232.0,370.0,663.0,34.0,69.0,241.0,435.0,2201.0,1456.0,156.0,18.0,84.0,898.0,163.0,1109.0,94.0,328.0,272.0,394.0,745.0,204.0,64.0,557.0,75.0,697.0,210.0,644.0,529.0,380.0,338.0,732.0,517.0,782.0,151.0,265.0,139.0
US,959.0,1574.0,784.0,196.0,232.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX,80.0,155.0,57.0,14.0,30.0,21.0,18.0,24.0,11.0,23.0,57.0,44.0,159.0,38.0,68.0,45.0,40.0,71.0,32.0,17.0,18.0,70.0,13.0,98.0,137.0,180.0,144.0,94.0,107.0,67.0,20.0,36.0,53.0,97.0,77.0,21.0,103.0,27.0,303.0,,,,,,,,,,,,,,,,,,,,,
WN,1767.0,3454.0,2148.0,621.0,976.0,1884.0,839.0,1056.0,384.0,322.0,970.0,1622.0,2640.0,1415.0,1278.0,968.0,610.0,1510.0,3395.0,703.0,315.0,936.0,220.0,1876.0,2313.0,1301.0,2111.0,844.0,531.0,1143.0,852.0,3319.0,3450.0,648.0,473.0,1061.0,2467.0,2037.0,2243.0,1220.0,1445.0,1262.0,2107.0,1928.0,1049.0,648.0,938.0,931.0,3949.0,4578.0,5294.0,4649.0,4140.0,2334.0,1614.0,1539.0,1781.0,1414.0,1136.0,1194.0
YV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,437.0,402.0,214.0,401.0,406.0,371.0,469.0,662.0,532.0,220.0,432.0,477.0,566.0,429.0,479.0,976.0,1066.0,639.0,730.0,548.0,393.0,108.0,298.0
YX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.0,434.0,2078.0,660.0,715.0,573.0,1167.0,1495.0,582.0,221.0,557.0,243.0,1132.0,952.0,348.0,572.0,677.0,681.0,1249.0,927.0,329.0,126.0,141.0,558.0
