Origin,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
LBB,2.7155,0.7855,2.0056,0.0034,5.2037,1714,269,2020,5,2725
MAF,2.5169,0.6328,1.9012,0.0210,5.5678,2135,346,2667,27,3861
AMA,2.7974,0.6039,2.7167,0.0109,4.4737,1143,192,1738,9,1913
ITO,1.0000,0.1183,0.1309,0.0004,2.0565,1597,249,195,1,2176
ACY,2.4769,0.2620,5.8355,0.0321,3.5056,1099,85,2434,17,896
PBG,7.3184,0.3327,4.3492,0.0058,6.3457,291,37,526,1,346
IAG,3.6974,0.6647,4.9619,0.0051,5.7161,272,48,430,1,279
LBE,1.8976,0.2901,4.4885,0.0140,5.2088,319,29,708,5,418
CLD,0.7473,0.6349,2.5741,0.0000,5.1888,11,6,74,0,59
LAR,5.4749,1.1823,3.7418,0.0284,3.4855,129,32,287,5,200
SBA,3.3502,0.2417,4.7871,0.0046,6.2873,971,90,3505,5,3583
SBP,3.8402,0.5628,5.2555,0.0199,6.6797,845,95,2488,18,2354
DVL,6.9259,2.2807,2.0348,0.0102,4.1509,123,54,217,4,181
FLG,2.7686,0.9253,1.3753,0.0185,3.6558,246,88,513,5,551
SUN,2.5731,0.7162,3.8117,0.0192,5.0426,183,44,595,9,439
FCA,2.9450,0.5286,2.1940,0.0044,3.7607,335,81,897,2,801
MRY,3.2517,0.3694,3.0791,0.0052,7.3342,549,60,1808,7,1918
SAF,6.9246,0.5824,2.1061,0.0035,6.3602,514,43,698,2,773
GCC,4.0842,0.6730,2.0907,0.0063,3.9914,140,36,323,2,301
PAH,4.3340,0.9403,4.6239,0.0022,7.0365,125,21,381,1,418
CEC,0.8684,0.0000,9.5842,0.0000,7.9474,5,0,24,0,28
MFR,4.6654,0.5836,4.7396,0.0063,6.2331,774,101,1905,6,1888
MBS,4.4070,0.8430,2.5301,0.0000,5.9693,415,71,927,0,1082
MLI,4.7721,1.1878,2.6099,0.0073,5.6064,1297,321,1997,5,1964
CID,3.9494,1.1589,2.9379,0.0051,6.0007,2251,627,3651,15,3801
RAP,3.9264,1.4744,2.4378,0.0069,5.6991,914,279,1557,9,1831
EUG,3.4783,0.3256,4.5847,0.0060,5.4665,849,85,2199,8,1954
RDM,4.4350,1.0231,5.1161,0.0065,5.9285,650,158,1848,10,1655
FWA,6.8018,0.8096,2.7285,0.0081,4.9648,2246,339,2734,9,2435
MKG,3.5331,0.2151,3.6347,0.0000,7.4389,83,12,349,0,461
CMX,8.2662,2.0579,4.2931,0.0384,6.1360,181,43,391,8,384
MOT,5.6437,1.5507,1.8871,0.0788,4.0829,407,133,715,20,721
BFL,4.1842,0.2061,2.2728,0.0019,4.2941,473,25,805,3,890
GJT,2.8742,0.6715,1.4899,0.0015,2.9495,464,120,966,2,891
ASE,5.4773,1.7114,4.3420,0.0221,9.9630,1857,586,3552,21,3931
ACV,4.8563,0.7721,5.1823,0.0279,8.8636,264,24,913,4,1061
YUM,2.8745,0.1331,1.0593,0.1031,2.9762,210,17,460,7,508
DRO,3.8748,0.8782,2.7457,0.0047,5.4153,731,181,1221,3,1175
ERI,3.4188,1.0476,2.9706,0.0224,5.7247,247,40,440,1,495
JMS,6.4716,1.0004,1.2147,0.0090,8.5190,242,38,345,2,445
LAN,4.0652,0.6849,2.7768,0.0017,5.9177,700,141,1351,4,1362
SBN,6.3362,1.0874,2.8606,0.0205,4.3477,2480,429,2756,30,2187
LNK,4.4142,1.0683,2.9030,0.0062,4.0957,523,122,1135,3,974
MMH,6.7516,1.1635,6.0612,0.0009,12.7434,57,8,200,1,213
TVC,3.8061,0.8909,3.6686,0.0061,6.9357,876,208,1780,7,1957
GFK,3.9651,1.2910,1.5174,0.0349,4.0379,292,116,529,9,590
PLN,4.6402,1.5183,1.0047,0.0566,9.3930,148,56,251,14,487
SGU,3.4295,0.3413,1.3166,0.0031,2.6846,458,57,830,3,793
SPI,5.0963,0.6623,3.6520,0.0186,5.9028,443,79,869,4,822
EAU,5.3031,0.8086,4.3526,0.0000,4.7738,110,12,326,0,299
HLN,3.5483,0.2992,1.7107,0.0005,1.5353,212,34,479,1,233
SMX,4.8044,0.1416,2.8317,0.0620,7.0504,78,6,165,2,207
LCH,3.4008,0.9440,2.6255,0.0106,3.8718,338,92,627,3,581
LRD,4.6238,0.5895,3.2183,0.0011,4.7448,576,56,940,2,985
TYR,2.6618,0.7291,1.9599,0.0140,5.5576,335,53,522,7,648
RHI,5.0071,1.4040,2.3056,0.0116,4.6597,148,49,400,7,319
GTF,4.1098,0.7175,1.5442,0.0017,2.7316,249,63,504,3,416
VEL,4.9722,0.6380,1.5217,0.0156,6.9948,17,15,74,1,119
HIB,3.1602,0.9908,1.6323,0.0103,5.2696,94,34,278,4,287
ESC,4.2091,0.5903,1.5107,0.0154,9.3188,110,30,195,5,361
INL,3.6859,1.5590,1.7063,0.0069,4.8555,72,39,209,1,240
IMT,4.2489,2.3185,1.1540,0.0045,6.1861,135,64,222,2,290
STC,6.0797,1.1731,2.6291,0.2637,9.5110,18,5,42,5,55
BRD,3.9593,2.1341,2.4383,0.0341,2.4164,108,40,317,12,167
PIH,1.5784,0.3925,1.3418,0.0000,3.2295,85,25,374,0,330
TWF,2.0454,1.2039,1.9568,0.0174,3.9502,144,124,436,7,387
EKO,3.0990,0.7964,0.8473,0.0253,2.5298,47,29,167,6,127
IDA,2.6356,0.4435,1.4755,0.0020,3.9004,360,67,726,2,783
AZO,3.6979,1.0291,2.7283,0.0057,5.1154,443,149,1145,4,1033
LWS,2.1952,0.9175,0.2911,0.0092,1.9476,58,15,81,1,114
CIU,6.3835,2.4648,1.6428,0.2020,6.1662,186,44,284,16,278
ISN,5.4922,1.2524,2.1334,0.0071,3.0352,307,105,616,5,451
BMI,4.6780,0.7032,2.7017,0.0244,5.8880,748,141,1375,10,1207
PUB,4.1100,1.1356,2.8487,0.0107,8.0339,58,29,274,3,256
RKS,3.0484,1.0993,2.3864,0.0220,3.5386,60,28,246,6,196
ABR,6.4763,1.4223,1.5415,0.0318,3.9372,202,40,281,12,231
CWA,3.2437,0.9626,3.3508,0.0138,5.0327,490,97,901,6,837
RST,4.6455,1.2280,3.3942,0.0168,6.7377,783,209,1494,9,1494
LSE,3.6271,1.2545,2.7746,0.0027,6.0359,333,124,829,1,887
DIK,2.6827,0.8519,1.7317,0.6056,2.4144,28,6,56,3,50
PIA,5.1892,0.9480,2.8590,0.0296,5.6477,1478,300,2105,9,1979
RDD,4.7301,0.2838,6.7096,0.0018,6.1222,135,8,675,1,625
COD,4.2994,0.7341,1.8718,0.0249,4.2753,148,65,315,7,272
CPR,1.7660,0.9013,1.7139,0.0053,3.0072,98,47,370,2,344
HYS,5.8573,0.5169,1.7922,0.0000,9.3262,124,28,359,0,465
CNY,3.4628,0.6101,2.9279,0.0000,7.8879,20,12,109,0,155
APN,5.1804,3.0577,1.0854,0.0800,6.0554,116,70,199,20,261
BJI,5.3754,0.9504,1.4899,0.0330,3.9828,158,40,249,8,195
BTM,3.4990,1.3197,1.2841,0.0000,3.0303,60,38,131,0,135
CDC,2.0147,0.2166,1.2142,0.0000,4.3654,47,15,247,0,320
GUM,4.9965,0.7663,0.9687,0.0000,1.8585,275,15,184,0,22
FSM,4.6937,1.0704,1.7768,0.0027,5.9871,503,116,736,1,874
OTH,4.2482,0.1631,6.0749,0.0132,18.9239,37,11,267,2,441
LAW,5.0856,1.1975,1.6952,0.0555,6.2219,409,79,561,1,661
MHK,5.0347,1.1126,3.2036,0.0014,5.5610,326,64,676,1,634
SJT,3.9389,0.9816,1.3702,0.0091,4.9947,466,111,523,6,708
BPT,5.1648,1.4195,3.0413,0.0101,6.9356,280,55,393,3,403
CLL,3.8235,0.6862,2.1522,0.0000,4.5815,365,79,661,0,792
BRO,2.7605,0.9171,2.6667,0.0010,4.7151,416,109,715,2,827
SPS,4.4885,0.6490,1.6991,0.0031,4.6682,323,48,401,1,437
GGG,2.9174,0.9076,2.0875,0.0236,5.5053,182,39,304,5,296
MLU,5.1788,0.6371,2.1760,0.0383,6.2166,928,99,1219,13,1426
GRK,4.1564,0.6593,2.6973,0.0032,4.8693,788,123,1205,3,1283
SCE,5.6385,1.8950,3.1016,0.0031,5.4854,339,110,605,1,605
HOB,2.9982,0.8775,4.7667,0.0000,1.9561,135,34,270,0,114
MEI,7.5654,0.7002,2.6937,0.0069,14.4580,340,36,619,4,920
PIB,8.7339,0.3656,1.7093,0.0080,7.2407,278,13,330,5,325
AEX,4.0092,0.8178,3.2498,0.0105,5.3858,878,228,1553,8,1435
MGM,4.4039,0.6994,1.8577,0.0022,7.1322,1192,181,1353,5,1860
GTR,4.1729,0.6820,1.6404,0.0202,5.6363,280,29,428,1,480
DHN,4.5867,0.7591,2.1775,0.0000,6.4371,433,59,700,0,768
PHF,3.7497,0.4467,1.3681,0.0086,6.0913,615,64,519,3,888
ELM,4.9023,0.4832,1.9616,0.0050,3.8798,352,32,423,4,384
VLD,4.5843,0.7304,1.6717,0.0000,4.5985,303,37,400,0,442
BQK,4.6138,0.4614,1.8066,0.0010,4.9943,275,28,421,1,408
CSG,3.3950,0.4302,1.4830,0.0000,6.8805,417,35,512,0,660
OAJ,5.2912,0.4685,1.3952,0.0026,5.8236,698,68,713,2,947
EWN,3.7144,0.6024,1.1200,0.0006,6.0796,383,67,355,1,601
ABY,5.8080,1.0868,1.5405,0.0061,6.2100,293,49,399,1,485
TTN,4.6320,0.4179,4.4319,0.0000,9.1843,1615,142,1792,0,1617
ILG,6.0000,0.6900,10.7300,0.0000,11.9100,16,5,26,0,25
UST,3.7070,0.3442,5.4465,0.0000,12.0326,41,7,67,0,69
TOL,4.0057,0.6593,2.9422,0.0015,5.4444,332,61,534,1,555
COU,6.1634,1.3399,4.4329,0.0540,5.6697,461,147,884,14,667
ABI,3.8577,2.2512,1.7872,0.0115,4.0253,586,180,617,8,599
DBQ,1.6691,1.5701,3.6437,0.0000,5.4875,124,67,356,0,346
PPG,11.5518,3.6656,3.8110,0.2893,15.8462,114,18,4,8,81
ROW,4.0807,1.4371,1.3496,0.0301,5.0146,266,66,322,2,389
ACT,3.1434,0.5857,1.2370,0.0054,5.6064,363,66,529,4,749
ALO,4.1819,0.8118,3.6834,0.0127,5.0317,160,27,277,1,228
MQT,7.9868,3.7021,4.1194,0.0192,6.2274,310,92,503,8,380
GCK,6.0325,2.0604,2.0751,0.0057,3.8449,183,63,279,2,189
CMI,3.6453,2.1475,3.0606,0.0009,4.1171,409,228,825,1,622
JLN,5.2277,1.5175,3.2774,0.0059,5.8460,295,52,450,2,374
GRI,6.9109,1.6983,2.5161,0.0287,4.6793,308,73,423,4,278
TXK,3.8195,0.8697,1.7505,0.0047,4.8869,259,45,388,1,400
SUX,4.1476,2.5619,4.5912,0.0457,6.1809,321,124,495,8,451
ITH,7.0327,2.2740,1.7661,0.0003,6.9414,214,61,314,1,382
BGM,6.7287,2.1829,1.5355,0.0025,5.9096,185,52,262,3,337
BGR,3.9370,0.6240,8.0367,0.0007,5.5406,692,86,1559,1,983
ACK,5.6849,1.1140,7.0769,0.2061,12.5103,538,41,620,47,675
MVY,4.9823,0.6484,8.7644,0.1710,8.2207,235,22,279,20,281
WYS,3.9092,0.1174,0.5313,0.0000,4.8183,34,8,55,0,110
GST,1.1825,0.1144,1.4063,1.2409,5.7153,28,2,52,19,45
AKN,1.1150,0.0000,1.0735,1.7412,1.1406,14,0,33,21,11
DLG,1.6521,0.2263,0.5572,0.5109,2.4136,23,4,26,12,20
HYA,3.1340,0.1128,10.3936,0.0468,8.2277,49,1,70,2,63
BFF,4.6347,2.0909,4.1268,0.0000,3.0692,32,18,123,0,67
EFD,5.0000,0.0000,49.0000,0.0000,2.0000,1,0,1,0,1
SPN,3.3338,0.0424,0.7647,0.0000,4.3967,30,2,46,0,65
PGD,4.5885,1.8573,1.4281,0.0314,4.3156,762,291,854,15,953
ENV,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
TKI,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
IFP,1.2692,0.0000,2.5110,0.0000,9.0989,12,0,62,0,58
STS,4.9729,0.5107,2.7602,0.0728,6.2059,310,23,575,17,640
CKB,11.2016,0.8643,5.7010,0.0000,6.1976,175,18,199,0,149
CGI,7.5819,1.4108,4.0307,0.0000,6.8847,84,24,156,0,159
UIN,6.0207,0.6727,4.8114,0.0000,9.5864,66,14,174,0,230
SWO,2.7584,1.7017,1.7058,0.0000,3.5316,58,35,120,0,122
SFB,5.4968,1.0871,1.5970,0.0377,3.4391,2078,414,2012,31,1852
PIE,4.6999,1.8006,1.3608,0.0093,3.0604,1003,467,1003,2,1038
BLV,8.0481,2.7210,1.9828,0.0751,11.2942,194,64,256,6,370
HGR,7.7196,1.6075,2.1464,0.2897,13.7445,31,17,48,6,67
RFD,5.7060,0.6878,2.3467,0.0345,7.4669,144,20,173,2,198
OWB,8.5540,4.1831,1.1549,0.0000,9.2441,25,7,22,0,49
HTS,5.0805,1.1591,1.9824,0.0208,10.1673,242,32,167,3,282
USA,4.8430,0.9008,3.4848,0.0405,11.4962,168,36,404,6,478
LCK,6.4063,0.9528,2.0420,0.0708,12.0845,261,44,318,12,412
AZA,5.0911,0.7184,2.0365,0.0762,3.3171,1026,202,1140,28,1004
OGD,4.7749,3.7706,2.6277,0.0000,8.7446,39,7,40,0,50
PVU,7.4757,1.0376,1.0876,0.0000,8.1432,113,32,120,0,180
YNG,0.0000,0.0000,18.5000,0.0000,52.0000,0,0,1,0,1
SCK,5.3468,0.5017,2.0758,0.1268,10.5208,307,33,254,10,428
PSM,6.8049,1.0385,3.0536,0.0577,9.6951,88,15,97,2,111
OGS,10.5150,0.3453,6.0075,0.0300,8.7538,46,4,89,2,59
HVN,3.2810,0.3846,3.1173,0.0000,6.2895,165,12,194,0,186
LYH,2.9611,0.8607,1.1408,0.0025,6.6068,113,30,121,1,201
FLO,3.5824,0.0000,0.9588,0.0000,7.3059,31,0,10,0,24
LBF,3.8216,0.1147,3.1499,0.0109,2.7102,21,2,97,2,52
LBL,6.8364,1.6164,4.0801,0.0000,4.4874,52,12,112,0,80
PGV,6.0748,0.5174,1.4129,0.0707,9.2920,145,12,70,1,141
LWB,6.5012,0.7792,5.4448,0.0008,14.4037,28,12,192,1,238
SHD,10.9737,0.4905,4.3336,0.0124,8.3803,92,10,114,2,109
SLN,11.4307,1.0080,6.8226,0.0018,9.1522,78,13,239,1,222
BKG,1.7715,0.0000,6.8742,0.0000,9.6755,14,0,55,0,52
HHH,5.5884,0.9635,3.4543,0.0286,6.6267,180,47,327,2,259
PRC,6.8273,1.0031,4.3957,0.0164,5.3453,99,10,133,1,82
EAR,5.5170,1.8869,3.6527,0.0000,3.1776,29,7,75,0,48
DRT,4.4158,3.4982,1.1816,0.0000,2.7252,37,27,45,0,52
CYS,12.0262,0.9459,2.7068,0.0733,7.1920,67,6,66,2,64
ART,5.2778,1.2037,1.4481,0.0926,6.8630,45,5,21,2,22
PAE,3.1650,0.3479,8.7204,0.0012,4.7839,54,5,232,1,145
PIR,4.9178,4.5388,2.6393,0.0289,8.3820,22,13,39,3,54
ATY,9.4837,4.2352,4.9254,0.0000,5.5373,19,10,63,0,56
BFM,0.5063,0.0000,8.3861,0.0000,7.5949,4,0,39,0,19
XWA,9.9034,8.4493,2.0435,0.4396,10.3913,16,10,23,4,20
