CityName,AVG(f.ArrDelay)
Los Angeles,33.7528
New York,49.8782
Honolulu,23.4813
Dallas/Fort Worth,42.5384
Kahului,22.3596
San Francisco,46.6726
Miami,38.1424
Las Vegas,31.4994
Ontario,29.3931
Washington,38.4068
Orlando,37.9993
Atlanta,38.4019
Phoenix,30.1402
Tampa,35.0184
Philadelphia,39.7830
Hayden,34.7558
San Diego,28.4463
Chicago,42.6703
Seattle,28.8527
Detroit,41.3799
San Jose,27.1828
Salt Lake City,32.4906
Kona,18.9943
San Juan,36.3363
Denver,36.7267
St. Louis,30.6253
Portland,30.3425
Jackson,42.2475
Charlotte,32.9687
Cleveland,40.3157
Houston,36.5760
Sacramento,28.3345
Tucson,32.0418
Boston,43.8500
Reno,29.8917
New Orleans,32.9541
Santa Ana,24.4076
Hartford,36.4413
Fort Myers,36.0231
San Antonio,31.7936
Milwaukee,35.0325
West Palm Beach/Palm Beach,39.4731
Baltimore,31.5174
Nashville,32.4936
Newark,52.9438
Jacksonville,34.5095
Austin,32.9434
Raleigh/Durham,36.1139
Lihue,19.0496
Kansas City,31.3014
Norfolk,37.4255
Colorado Springs,41.3797
Charlotte Amalie,35.1229
Memphis,34.1018
Fort Lauderdale,38.3727
Mission/McAllen/Edinburg,38.6234
Indianapolis,35.7882
Oklahoma City,33.7186
Pittsburgh,35.3729
Tulsa,32.8764
El Paso,31.5805
Minneapolis,38.6238
Columbus,34.8889
Palm Springs,32.3060
Dayton,39.5754
Albuquerque,29.9421
Gunnison,38.3729
Louisville,34.4759
Birmingham,34.6494
Eagle,50.9778
Des Moines,36.3822
Richmond,40.8571
Omaha,33.0651
Christiansted,31.6374
Fresno,35.9566
Little Rock,31.4431
Wichita,34.3768
Montrose/Delta,31.9171
Ketchikan,24.3417
Juneau,25.2390
Wrangell,28.1044
Sitka,26.6810
Anchorage,24.9775
Bellingham,27.3339
Burbank,27.1230
Spokane,28.0562
Barrow,24.1496
Deadhorse,21.5553
Kotzebue,19.6398
Oakland,27.1533
Fairbanks,23.3019
Petersburg,29.0866
Cordova,22.5497
Yakutat,23.9116
Nome,19.6372
Bethel,21.4866
Kodiak,21.2215
Long Beach,33.4288
White Plains,44.9323
Syracuse,40.3174
Rochester,39.4883
Savannah,37.3638
Burlington,43.0323
Sarasota/Bradenton,32.8780
Buffalo,38.5063
Newburgh/Poughkeepsie,45.2498
Providence,35.3838
Ponce,41.2330
Aguadilla,40.3268
Charleston,35.6656
Worcester,44.4155
Grand Rapids,36.6889
Cincinnati,40.7422
Sioux Falls,37.9456
Panama City,37.1244
Jackson/Vicksburg,35.2795
Fargo,36.8743
Asheville,39.9696
Mobile,38.2343
Madison,37.8205
Bozeman,32.9940
Dallas,28.3098
Gulfport/Biloxi,37.1791
Billings,35.2056
Green Bay,40.5266
Manchester,33.7247
Harrisburg,36.7736
Huntsville,37.7933
Greer,36.9687
Greensboro/High Point,38.7138
Pensacola,32.0585
Key West,33.6856
Daytona Beach,30.7252
Springfield,35.6615
Boise,31.5078
Bristol/Johnson City/Kingsport,40.4873
Albany,34.8084
Akron,43.7738
Melbourne,29.3665
Flint,34.7504
Lafayette,37.0464
Tallahassee,33.9252
Missoula,30.9931
Valparaiso,35.5711
Duluth,46.7623
Lexington,39.7664
Scranton/Wilkes-Barre,37.0855
Bismarck/Mandan,37.9453
Augusta,37.5523
Columbia,39.2776
Allentown/Bethlehem/Easton,37.9838
Wilmington,35.2254
Roanoke,35.9977
Charleston/Dunbar,40.1672
Appleton,38.8295
Myrtle Beach,37.0972
Chattanooga,41.4727
Shreveport,38.4944
Knoxville,41.9755
Fayetteville,36.0297
Evansville,39.2656
Gainesville,33.4242
Charlottesville,44.3954
Baton Rouge,40.7097
Pasco/Kennewick/Richland,36.2055
Harlingen/San Benito,29.3526
Lubbock,32.8328
Islip,37.1201
Amarillo,31.8900
Midland/Odessa,33.5289
Corpus Christi,33.3530
Atlantic City,43.8342
Manhattan/Ft. Riley,36.8726
Plattsburgh,53.4603
Latrobe,46.1765
Monterey,41.7742
Santa Barbara,38.1519
San Luis Obispo,40.1967
Jamestown,52.7452
Minot,37.8925
Sun Valley/Hailey/Ketchum,32.0063
Rapid City,35.7579
Durango,34.4781
Williston,31.5975
Santa Fe,37.7617
Paducah,49.2360
Pueblo,54.5486
Carlsbad,29.0049
Fort Wayne,45.7432
South Bend,48.2478
Kalispell,29.4839
Gillette,36.7381
Hancock/Houghton,50.6190
Bend/Redmond,39.2903
Aspen,50.1785
Arcata/Eureka,50.2912
Yuma,27.0910
Flagstaff,29.2217
Erie,39.0347
Niagara Falls,38.0535
Redding,45.0980
St. Cloud,34.4203
Traverse City,40.2685
Eugene,35.3970
Idaho Falls,29.8361
Moline,37.6814
Bakersfield,36.4766
Cedar Rapids/Iowa City,37.0568
Grand Forks,39.5552
Casper,28.0550
Lincoln,35.0553
La Crosse,37.4617
Great Falls,30.3638
Rock Springs,41.4129
Laramie,56.8010
Eau Claire,44.2446
Saginaw/Bay City/Midland,47.0798
Lansing,41.4543
Medford,39.4504
Monroe,41.9972
Brownsville,35.0833
Tyler,31.1064
Rhinelander,51.3134
Iron Mountain/Kingsfd,45.9865
Grand Junction,27.5254
Pellston,50.9839
St. George,24.0159
Peoria,39.9396
Vernal,39.7491
Hibbing,39.8731
Escanaba,47.8958
International Falls,41.9372
Twin Falls,23.8985
Elko,26.0035
Mammoth Lakes,51.1273
Brainerd,66.4851
Pocatello,23.2509
Kalamazoo,42.3562
Lewiston,25.3015
Sault Ste. Marie,49.0808
Helena,30.3440
Bloomington/Normal,40.5622
Devils Lake,55.4726
Crescent City,43.2623
Muskegon,42.7745
Aberdeen,48.7821
North Bend/Coos Bay,48.5149
Hilo,11.9565
Dickinson,27.3740
Hays,52.8648
Santa Maria,37.6660
Moab,39.9415
Alpena,64.9139
Bemidji,47.7826
Butte,36.6271
Cedar City,17.2957
Cody,32.7210
Guam,28.8380
Laredo,36.1640
Lawton/Fort Sill,37.6442
San Angelo,29.0791
Killeen,33.4455
Beaumont/Port Arthur,34.4927
College Station/Bryan,37.3088
Lake Charles,36.0766
Wichita Falls,33.0922
Longview,30.5397
Mosinee,39.8810
Alexandria,35.1670
State College,43.8889
Elmira/Corning,36.8195
Meridian,53.4003
Hattiesburg/Laurel,63.9582
Hobbs,35.1976
Montgomery,40.6108
Fort Smith,38.4219
Dothan,40.0821
Newport News/Williamsburg,36.7738
Valdosta,34.3704
Brunswick,37.9576
Jacksonville/Camp Lejeune,36.1968
New Bern/Morehead/Beaufort,36.1670
Trenton,52.1301
St. Augustine,57.4545
Toledo,36.4263
Dubuque,32.6419
Champaign/Urbana,37.2109
Pago Pago,41.0595
Roswell,37.7664
Waco,31.9373
Sioux City,30.8580
Abilene,29.8304
Grand Island,36.9744
Joplin,38.2525
Waterloo,37.1208
Marquette,56.3206
Garden City,31.6454
Texarkana,31.2588
Binghamton,45.5099
Bangor,42.8473
Ithaca/Cortland,46.2341
Adak Island,23.1496
Nantucket,54.2397
Martha's Vineyard,37.5517
West Yellowstone,11.6733
Gustavus,27.5636
Dillingham,22.7857
King Salmon,13.3750
Hyannis,36.6213
Punta Gorda,48.7387
Santa Rosa,43.9684
Bullhead City,27.4311
Clarksburg/Fairmont,69.0016
Quincy,51.2988
Cape Girardeau,65.8922
Stillwater,28.9406
Sanford,49.1152
St. Petersburg,51.8615
Hagerstown,46.3805
Rockford,33.0597
Owensboro,31.5977
Youngstown/Warren,59.5000
Ashland,39.3448
Belleville,39.0287
Stockton,33.8280
CONCORD,43.6526
Ogden,25.9381
Portsmouth,37.0700
Ogdensburg,86.6495
Provo,35.4820
New Haven,42.1544
Lynchburg,34.8297
Scottsbluff,63.1503
North Platte,54.2365
Liberal,54.0424
Florence,39.5143
Greenville,49.3041
Staunton,84.6802
Lewisburg,52.7049
Salina,71.6314
Branson,44.9360
Saipan,25.3608
Hilton Head,53.6522
Prescott,44.1584
Kearney,55.5315
Del Rio,21.8304
Cheyenne,64.0000
Watertown,52.4783
Everett,30.7247
Pierre,66.3587
