Month,Airline,DelayType,DelayValue
9,Express Jet ,LateAircraftDelay,3.76
9,Frontier ,CarrierDelay,4.38
9,Frontier ,WeatherDelay,0.11
9,Frontier ,NASDelay,3.17
9,Frontier ,LateAircraftDelay,7.18
9,SkyWest ,CarrierDelay,2.66
9,SkyWest ,WeatherDelay,0.47
9,SkyWest ,NASDelay,3.33
9,SkyWest ,SecurityDelay,0
9,SkyWest ,LateAircraftDelay,3.8
9,Virgin America,CarrierDelay,1.93
9,Virgin America,WeatherDelay,0.36
9,Virgin America,NASDelay,3.33
9,Virgin America,SecurityDelay,0.07
9,Virgin America,LateAircraftDelay,3.09
9,Southwest ,CarrierDelay,1.93
9,Southwest ,WeatherDelay,0.25
9,Southwest ,NASDelay,1.17
9,Southwest ,SecurityDelay,0.02
9,Southwest ,LateAircraftDelay,2.92
9,American ,CarrierDelay,3.39
9,American ,WeatherDelay,0.45
9,American ,NASDelay,2.48
9,American ,SecurityDelay,0.04
9,American ,LateAircraftDelay,3.27
9,Alaska ,CarrierDelay,1.9
9,Alaska ,WeatherDelay,0.14
9,Alaska ,NASDelay,2.29
9,Alaska ,SecurityDelay,0.04
9,Alaska ,LateAircraftDelay,1.68
9,Jetblue ,CarrierDelay,4
9,Jetblue ,WeatherDelay,0.41
9,Jetblue ,NASDelay,3.73
9,Jetblue ,SecurityDelay,0.02
9,Jetblue ,LateAircraftDelay,4.87
9,Hawaiian ,CarrierDelay,2.47
9,Hawaiian ,WeatherDelay,0.11
9,Hawaiian ,NASDelay,0.07
9,Hawaiian ,SecurityDelay,0.01
9,Hawaiian ,LateAircraftDelay,1.16
10,American ,CarrierDelay,3.37
10,American ,WeatherDelay,0.37
10,American ,NASDelay,2.33
10,American ,SecurityDelay,0.01
10,American ,LateAircraftDelay,3.46
10,Alaska ,CarrierDelay,1.96
10,Alaska ,WeatherDelay,0.16
10,Alaska ,NASDelay,2.49
10,Alaska ,SecurityDelay,0.02
10,Alaska ,LateAircraftDelay,2.24
10,Jetblue ,CarrierDelay,3.98
10,Jetblue ,WeatherDelay,0.2
10,Jetblue ,NASDelay,3.52
10,Jetblue ,SecurityDelay,0.02
10,Jetblue ,LateAircraftDelay,4.17
10,Delta ,CarrierDelay,2.35
10,Delta ,WeatherDelay,0.17
10,Delta ,NASDelay,1.53
10,Delta ,SecurityDelay,0.01
10,Delta ,LateAircraftDelay,1.37
10,SkyWest ,CarrierDelay,2.58
10,SkyWest ,WeatherDelay,0.27
10,SkyWest ,NASDelay,3.17
10,SkyWest ,SecurityDelay,0
10,SkyWest ,LateAircraftDelay,3.77
10,SkyWest ,CarrierDelay,4.05
10,SkyWest ,WeatherDelay,0.62
10,SkyWest ,NASDelay,2.07
10,SkyWest ,SecurityDelay,0.01
10,SkyWest ,LateAircraftDelay,4.24
10,Virgin America,CarrierDelay,2.23
10,Virgin America,WeatherDelay,0.33
10,Virgin America,NASDelay,6.15
10,Virgin America,SecurityDelay,0.02
10,Virgin America,LateAircraftDelay,5.02
10,Southwest ,CarrierDelay,2.14
10,Southwest ,WeatherDelay,0.15
10,Southwest ,NASDelay,1.19
10,Southwest ,SecurityDelay,0.01
10,Southwest ,LateAircraftDelay,3.11
10,Express Jet ,CarrierDelay,4.44
10,Express Jet ,WeatherDelay,0.23
10,Express Jet ,NASDelay,3.27
10,Express Jet ,LateAircraftDelay,3.97
10,Frontier ,CarrierDelay,4.06
10,Frontier ,WeatherDelay,0.1
10,Frontier ,NASDelay,3.29
10,Frontier ,LateAircraftDelay,7.16
10,Hawaiian ,CarrierDelay,2.52
10,Hawaiian ,WeatherDelay,0.12
10,Hawaiian ,NASDelay,0.13
10,Hawaiian ,SecurityDelay,0.03
10,Hawaiian ,LateAircraftDelay,1.48
10,Envoy Air,CarrierDelay,2.46
10,Envoy Air,WeatherDelay,0.85
10,Envoy Air,NASDelay,2.52
10,Envoy Air,SecurityDelay,0.01
10,Envoy Air,LateAircraftDelay,3.64
10,Spirit ,CarrierDelay,1.64
10,Spirit ,WeatherDelay,0.14
10,Spirit ,NASDelay,5.27
10,Spirit ,SecurityDelay,0.03
10,Spirit ,LateAircraftDelay,1.97
11,American ,CarrierDelay,3.2
11,American ,WeatherDelay,0.29
11,American ,NASDelay,1.99
11,American ,SecurityDelay,0.03
11,American ,LateAircraftDelay,3
11,Alaska ,CarrierDelay,2.02
11,Alaska ,WeatherDelay,0.36
11,Alaska ,NASDelay,2.72
11,Alaska ,SecurityDelay,0.04
11,Alaska ,LateAircraftDelay,2.63
11,Jetblue ,CarrierDelay,4.13
11,Jetblue ,WeatherDelay,0.1
11,Jetblue ,NASDelay,2.77
11,Jetblue ,SecurityDelay,0.04
11,Jetblue ,LateAircraftDelay,4.05
11,Delta ,CarrierDelay,2.37
11,Delta ,WeatherDelay,0.34
11,Delta ,NASDelay,1.59
11,Delta ,SecurityDelay,0.01
11,Delta ,LateAircraftDelay,1.57
11,SkyWest ,CarrierDelay,2.72
11,SkyWest ,WeatherDelay,0.43
11,SkyWest ,NASDelay,3.2
11,SkyWest ,SecurityDelay,0
11,SkyWest ,LateAircraftDelay,4.06
11,Virgin America,CarrierDelay,2.08
11,Virgin America,WeatherDelay,0.44
11,Virgin America,NASDelay,3.37
11,Virgin America,SecurityDelay,0.04
11,Virgin America,LateAircraftDelay,3.15
11,Southwest ,CarrierDelay,2.28
11,Southwest ,WeatherDelay,0.16
11,Southwest ,NASDelay,1.06
11,Southwest ,SecurityDelay,0.03
11,Southwest ,LateAircraftDelay,3.21
11,SkyWest ,CarrierDelay,3.92
11,SkyWest ,WeatherDelay,1.02
11,SkyWest ,NASDelay,2.44
11,SkyWest ,SecurityDelay,0.02
11,SkyWest ,LateAircraftDelay,4.48
11,Express Jet ,CarrierDelay,4.62
11,Express Jet ,WeatherDelay,0.29
11,Express Jet ,NASDelay,3.3
11,Express Jet ,LateAircraftDelay,4.28
11,Frontier ,CarrierDelay,3.74
11,Frontier ,WeatherDelay,0.12
11,Frontier ,NASDelay,3.18
11,Frontier ,LateAircraftDelay,6.09
11,Hawaiian ,CarrierDelay,2.1
11,Hawaiian ,WeatherDelay,0.11
11,Hawaiian ,NASDelay,0.04
11,Hawaiian ,SecurityDelay,0.02
11,Hawaiian ,LateAircraftDelay,0.85
11,Envoy Air,CarrierDelay,2.65
11,Envoy Air,WeatherDelay,0.96
11,Envoy Air,NASDelay,2.59
11,Envoy Air,SecurityDelay,0.01
11,Envoy Air,LateAircraftDelay,3.74
11,Spirit ,CarrierDelay,2.22
11,Spirit ,WeatherDelay,0.14
11,Spirit ,NASDelay,4.09
11,Spirit ,SecurityDelay,0.05
11,Spirit ,LateAircraftDelay,2.5
12,American ,CarrierDelay,3.9
12,American ,WeatherDelay,0.52
12,American ,NASDelay,2.62
12,American ,SecurityDelay,0.02
12,American ,LateAircraftDelay,4.07
12,Alaska ,CarrierDelay,2.7
12,Alaska ,WeatherDelay,0.3
12,Alaska ,NASDelay,3.33
12,Alaska ,SecurityDelay,0.04
12,Alaska ,LateAircraftDelay,3.58
12,Jetblue ,CarrierDelay,6.87
12,Jetblue ,WeatherDelay,0.41
12,Jetblue ,NASDelay,4.16
12,Jetblue ,SecurityDelay,0.05
12,Jetblue ,LateAircraftDelay,8.85
12,Delta ,CarrierDelay,3.51
12,Delta ,WeatherDelay,0.92
12,Delta ,NASDelay,2.46
12,Delta ,SecurityDelay,0.01
12,Delta ,LateAircraftDelay,2.68
12,Envoy Air,CarrierDelay,2.86
12,Envoy Air,WeatherDelay,1.43
12,Envoy Air,NASDelay,2.67
12,Envoy Air,SecurityDelay,0.02
12,Envoy Air,LateAircraftDelay,5.05
12,Hawaiian ,CarrierDelay,3.35
12,Hawaiian ,WeatherDelay,0.24
12,Hawaiian ,NASDelay,0.08
12,Hawaiian ,SecurityDelay,0.01
12,Hawaiian ,LateAircraftDelay,1.69
12,Express Jet ,CarrierDelay,6.03
12,Express Jet ,WeatherDelay,0.56
12,Express Jet ,NASDelay,4.47
12,Express Jet ,LateAircraftDelay,6.1
12,Spirit ,CarrierDelay,3.32
12,Spirit ,WeatherDelay,0.36
12,Spirit ,NASDelay,5.55
12,Spirit ,SecurityDelay,0.04
12,Spirit ,LateAircraftDelay,4.03
12,SkyWest ,CarrierDelay,6.06
12,SkyWest ,WeatherDelay,1.44
12,SkyWest ,NASDelay,3.2
12,SkyWest ,SecurityDelay,0.02
12,SkyWest ,LateAircraftDelay,7.17
12,Frontier ,CarrierDelay,5.19
12,Frontier ,WeatherDelay,0.36
12,Frontier ,NASDelay,4.26
12,Frontier ,LateAircraftDelay,8.63
12,SkyWest ,CarrierDelay,3.56
12,SkyWest ,WeatherDelay,0.67
12,SkyWest ,NASDelay,3.91
12,SkyWest ,SecurityDelay,0
12,SkyWest ,LateAircraftDelay,5.35
12,Virgin America,CarrierDelay,2.96
12,Virgin America,WeatherDelay,0.64
12,Virgin America,NASDelay,5.29
12,Virgin America,SecurityDelay,0.06
12,Virgin America,LateAircraftDelay,6.46
12,Southwest ,CarrierDelay,3.34
12,Southwest ,WeatherDelay,0.25
12,Southwest ,NASDelay,1.49
12,Southwest ,SecurityDelay,0.03
12,Southwest ,LateAircraftDelay,5.47
1,Endeavor Air,CarrierDelay,3.94
1,Endeavor Air,WeatherDelay,1.75
1,Endeavor Air,NASDelay,3.96
1,Endeavor Air,SecurityDelay,0
1,Endeavor Air,LateAircraftDelay,6.06
1,Allegiant Air,CarrierDelay,4.8
1,Allegiant Air,WeatherDelay,0.95
1,Allegiant Air,NASDelay,2.7
1,Allegiant Air,SecurityDelay,0.07
1,Allegiant Air,LateAircraftDelay,5.99
1,PSA ,CarrierDelay,3.6
1,PSA ,WeatherDelay,0.63
1,PSA ,NASDelay,1.89
1,PSA ,SecurityDelay,0.02
1,PSA ,LateAircraftDelay,5.93
1,Mesa ,CarrierDelay,5.03
1,Mesa ,WeatherDelay,0.86
1,Mesa ,NASDelay,1.91
1,Mesa ,SecurityDelay,0.02
1,Mesa ,LateAircraftDelay,4.5
1,Republic ,CarrierDelay,3.16
1,Republic ,WeatherDelay,0.91
1,Republic ,NASDelay,4.93
1,Republic ,SecurityDelay,0.01
1,Republic ,LateAircraftDelay,5.35
2,Allegiant Air,CarrierDelay,5.93
2,Allegiant Air,WeatherDelay,1.04
2,Allegiant Air,NASDelay,2.66
2,Allegiant Air,SecurityDelay,0.04
2,Allegiant Air,LateAircraftDelay,6.7
2,PSA ,CarrierDelay,3.96
2,PSA ,WeatherDelay,1.04
2,PSA ,NASDelay,2
2,PSA ,SecurityDelay,0.02
2,PSA ,LateAircraftDelay,8.4
2,Mesa ,CarrierDelay,5.68
2,Mesa ,WeatherDelay,1.64
2,Mesa ,NASDelay,2.89
2,Mesa ,SecurityDelay,0.03
2,Mesa ,LateAircraftDelay,7.04
2,Republic ,CarrierDelay,2.52
2,Republic ,WeatherDelay,0.6
2,Republic ,NASDelay,4.14
2,Republic ,SecurityDelay,0.02
2,Republic ,LateAircraftDelay,4.3
2,Endeavor Air,CarrierDelay,4.4
2,Endeavor Air,WeatherDelay,1.5
2,Endeavor Air,NASDelay,3.61
2,Endeavor Air,SecurityDelay,0
2,Endeavor Air,LateAircraftDelay,6.58
3,Allegiant Air,CarrierDelay,4.47
3,Allegiant Air,WeatherDelay,0.5
3,Allegiant Air,NASDelay,1.81
3,Allegiant Air,SecurityDelay,0.04
3,Allegiant Air,LateAircraftDelay,4.77
3,PSA ,CarrierDelay,3.45
3,PSA ,WeatherDelay,0.26
3,PSA ,NASDelay,1.4
3,PSA ,SecurityDelay,0.01
3,PSA ,LateAircraftDelay,5.11
3,Mesa ,CarrierDelay,4.2
3,Mesa ,WeatherDelay,0.63
3,Mesa ,NASDelay,1.58
3,Mesa ,SecurityDelay,0.02
3,Mesa ,LateAircraftDelay,4.27
3,Republic ,CarrierDelay,2.36
3,Republic ,WeatherDelay,0.37
3,Republic ,NASDelay,3.02
3,Republic ,SecurityDelay,0.01
3,Republic ,LateAircraftDelay,3.6
3,American ,CarrierDelay,3.91
3,American ,WeatherDelay,0.35
3,American ,NASDelay,1.92
3,American ,SecurityDelay,0.02
3,American ,LateAircraftDelay,4.31
3,Alaska ,CarrierDelay,1.92
3,Alaska ,WeatherDelay,0.18
3,Alaska ,NASDelay,2.63
3,Alaska ,SecurityDelay,0.03
3,Alaska ,LateAircraftDelay,2.11
3,Endeavor Air,CarrierDelay,3.66
3,Endeavor Air,WeatherDelay,0.55
3,Endeavor Air,NASDelay,2.53
3,Endeavor Air,SecurityDelay,0.01
3,Endeavor Air,LateAircraftDelay,4.94
4,Allegiant Air,CarrierDelay,5.49
4,Allegiant Air,WeatherDelay,0.73
4,Allegiant Air,NASDelay,2.08
4,Allegiant Air,SecurityDelay,0.03
4,Allegiant Air,LateAircraftDelay,5.56
4,PSA ,CarrierDelay,3.39
4,PSA ,WeatherDelay,0.97
4,PSA ,NASDelay,2.18
4,PSA ,SecurityDelay,0.02
4,PSA ,LateAircraftDelay,7.3
4,Mesa ,CarrierDelay,4.18
4,Mesa ,WeatherDelay,1.39
4,Mesa ,NASDelay,1.67
4,Mesa ,SecurityDelay,0.01
4,Mesa ,LateAircraftDelay,4.88
4,Republic ,CarrierDelay,2.88
4,Republic ,WeatherDelay,0.63
4,Republic ,NASDelay,4.32
4,Republic ,SecurityDelay,0
4,Republic ,LateAircraftDelay,4.78
4,Endeavor Air,CarrierDelay,3.97
4,Endeavor Air,WeatherDelay,0.88
4,Endeavor Air,NASDelay,4.04
4,Endeavor Air,SecurityDelay,0
4,Endeavor Air,LateAircraftDelay,6.89
5,Allegiant Air,CarrierDelay,6.32
5,Allegiant Air,WeatherDelay,0.94
5,Allegiant Air,NASDelay,2.04
5,Allegiant Air,SecurityDelay,0.02
5,Allegiant Air,LateAircraftDelay,6.57
5,PSA ,CarrierDelay,3.39
5,PSA ,WeatherDelay,1.14
5,PSA ,NASDelay,2.6
5,PSA ,SecurityDelay,0.02
5,PSA ,LateAircraftDelay,6.89
5,Mesa ,CarrierDelay,4.46
5,Mesa ,WeatherDelay,2.22
5,Mesa ,NASDelay,2.44
5,Mesa ,SecurityDelay,0.01
5,Mesa ,LateAircraftDelay,6.58
5,Republic ,CarrierDelay,2.44
5,Republic ,WeatherDelay,0.84
5,Republic ,NASDelay,4.77
5,Republic ,SecurityDelay,0.01
5,Republic ,LateAircraftDelay,4.69
5,Endeavor Air,CarrierDelay,3.12
5,Endeavor Air,WeatherDelay,0.78
5,Endeavor Air,NASDelay,3.47
5,Endeavor Air,SecurityDelay,0
5,Endeavor Air,LateAircraftDelay,4.22
6,Endeavor Air,CarrierDelay,4.75
6,Endeavor Air,WeatherDelay,1.27
6,Endeavor Air,NASDelay,4.61
6,Endeavor Air,SecurityDelay,0
6,Endeavor Air,LateAircraftDelay,8.18
6,Allegiant Air,CarrierDelay,7.43
6,Allegiant Air,WeatherDelay,1.43
6,Allegiant Air,NASDelay,2.53
6,Allegiant Air,SecurityDelay,0.03
6,Allegiant Air,LateAircraftDelay,9.29
6,PSA ,CarrierDelay,5.84
6,PSA ,WeatherDelay,1.19
6,PSA ,NASDelay,2.97
6,PSA ,SecurityDelay,0.02
6,PSA ,LateAircraftDelay,9.42
6,Mesa ,CarrierDelay,6.05
6,Mesa ,WeatherDelay,1.92
6,Mesa ,NASDelay,2.49
6,Mesa ,SecurityDelay,0.02
6,Mesa ,LateAircraftDelay,9.09
6,Republic ,CarrierDelay,3.51
6,Republic ,WeatherDelay,0.77
6,Republic ,NASDelay,5.67
6,Republic ,SecurityDelay,0.01
6,Republic ,LateAircraftDelay,6.46
7,Endeavor Air,CarrierDelay,4.01
7,Endeavor Air,WeatherDelay,1.4
7,Endeavor Air,NASDelay,5.37
7,Endeavor Air,SecurityDelay,0
7,Endeavor Air,LateAircraftDelay,6.7
7,Mesa ,CarrierDelay,5.14
7,Mesa ,WeatherDelay,1.65
7,Mesa ,NASDelay,2.58
7,Mesa ,SecurityDelay,0.01
7,Mesa ,LateAircraftDelay,7.37
7,Allegiant Air,CarrierDelay,6.3
7,Allegiant Air,WeatherDelay,1.92
7,Allegiant Air,NASDelay,2.76
7,Allegiant Air,SecurityDelay,0.03
7,Allegiant Air,LateAircraftDelay,8.64
7,PSA ,CarrierDelay,3.66
7,PSA ,WeatherDelay,1.47
7,PSA ,NASDelay,3
7,PSA ,SecurityDelay,0.02
7,PSA ,LateAircraftDelay,8.04
7,Republic ,CarrierDelay,3.34
7,Republic ,WeatherDelay,0.92
7,Republic ,NASDelay,5.79
7,Republic ,SecurityDelay,0.01
7,Republic ,LateAircraftDelay,5.62
8,Allegiant Air,CarrierDelay,6.14
8,Allegiant Air,WeatherDelay,1.49
8,Allegiant Air,NASDelay,2.32
8,Allegiant Air,SecurityDelay,0.03
8,Allegiant Air,LateAircraftDelay,6.81
8,PSA ,CarrierDelay,3.9
8,PSA ,WeatherDelay,1.65
8,PSA ,NASDelay,3.49
8,PSA ,SecurityDelay,0.01
8,PSA ,LateAircraftDelay,8.96
8,Endeavor Air,CarrierDelay,4.13
8,Endeavor Air,WeatherDelay,0.98
8,Endeavor Air,NASDelay,5.64
8,Endeavor Air,SecurityDelay,0
8,Endeavor Air,LateAircraftDelay,6.31
8,Mesa ,CarrierDelay,6.3
8,Mesa ,WeatherDelay,1.44
8,Mesa ,NASDelay,2.43
8,Mesa ,SecurityDelay,0.03
8,Mesa ,LateAircraftDelay,8.28
8,Republic ,CarrierDelay,3.07
8,Republic ,WeatherDelay,0.84
8,Republic ,NASDelay,6.2
8,Republic ,SecurityDelay,0.01
8,Republic ,LateAircraftDelay,6.37
9,Endeavor Air,CarrierDelay,2.54
9,Endeavor Air,WeatherDelay,0.55
9,Endeavor Air,NASDelay,3.54
9,Endeavor Air,SecurityDelay,0
9,Endeavor Air,LateAircraftDelay,3.74
9,Mesa ,CarrierDelay,5.45
9,Mesa ,WeatherDelay,1.42
9,Mesa ,NASDelay,2.08
9,Mesa ,SecurityDelay,0.07
9,Mesa ,LateAircraftDelay,7.21
9,Republic ,CarrierDelay,1.89
9,Republic ,WeatherDelay,0.42
9,Republic ,NASDelay,3.92
9,Republic ,SecurityDelay,0.01
9,Republic ,LateAircraftDelay,3.51
9,Allegiant Air,CarrierDelay,4.39
9,Allegiant Air,WeatherDelay,0.94
9,Allegiant Air,NASDelay,1.07
9,Allegiant Air,SecurityDelay,0.03
9,Allegiant Air,LateAircraftDelay,3.74
9,PSA ,CarrierDelay,2.82
9,PSA ,WeatherDelay,0.63
9,PSA ,NASDelay,1.68
9,PSA ,SecurityDelay,0.01
9,PSA ,LateAircraftDelay,5.3
10,Allegiant Air,CarrierDelay,5.44
10,Allegiant Air,WeatherDelay,0.46
10,Allegiant Air,NASDelay,1.33
10,Allegiant Air,SecurityDelay,0.03
10,Allegiant Air,LateAircraftDelay,4.95
10,Mesa ,CarrierDelay,6.34
10,Mesa ,WeatherDelay,1.37
10,Mesa ,NASDelay,2.87
10,Mesa ,SecurityDelay,0.03
10,Mesa ,LateAircraftDelay,8.68
10,Republic ,CarrierDelay,2.06
10,Republic ,WeatherDelay,0.2
10,Republic ,NASDelay,4.26
10,Republic ,SecurityDelay,0.01
10,Republic ,LateAircraftDelay,3.99
10,Endeavor Air,CarrierDelay,2.48
10,Endeavor Air,WeatherDelay,0.35
10,Endeavor Air,NASDelay,3.19
10,Endeavor Air,SecurityDelay,0
10,Endeavor Air,LateAircraftDelay,4.21
10,PSA ,CarrierDelay,2.89
10,PSA ,WeatherDelay,0.31
10,PSA ,NASDelay,1.38
10,PSA ,SecurityDelay,0.01
10,PSA ,LateAircraftDelay,5.12
11,Endeavor Air,CarrierDelay,3.23
11,Endeavor Air,WeatherDelay,0.52
11,Endeavor Air,NASDelay,2.78
11,Endeavor Air,SecurityDelay,0.01
11,Endeavor Air,LateAircraftDelay,4.82
11,PSA ,CarrierDelay,3.56
11,PSA ,WeatherDelay,0.23
11,PSA ,NASDelay,1.44
11,PSA ,SecurityDelay,0.02
11,PSA ,LateAircraftDelay,6.45
11,Mesa ,CarrierDelay,5.37
11,Mesa ,WeatherDelay,0.56
11,Mesa ,NASDelay,1.6
11,Mesa ,SecurityDelay,0.01
11,Mesa ,LateAircraftDelay,5.96
11,Republic ,CarrierDelay,2.31
11,Republic ,WeatherDelay,0.33
11,Republic ,NASDelay,3.35
11,Republic ,SecurityDelay,0.01
11,Republic ,LateAircraftDelay,3.65
11,Allegiant Air,CarrierDelay,5.28
11,Allegiant Air,WeatherDelay,0.54
11,Allegiant Air,NASDelay,2.32
11,Allegiant Air,SecurityDelay,0.03
11,Allegiant Air,LateAircraftDelay,5.18
12,Mesa ,CarrierDelay,6.85
12,Mesa ,WeatherDelay,1.15
12,Mesa ,NASDelay,2.03
12,Mesa ,SecurityDelay,0.02
12,Mesa ,LateAircraftDelay,9.04
12,Republic ,CarrierDelay,2.53
12,Republic ,WeatherDelay,0.48
12,Republic ,NASDelay,4.4
12,Republic ,SecurityDelay,0.01
12,Republic ,LateAircraftDelay,5.15
12,Allegiant Air,CarrierDelay,4.71
12,Allegiant Air,WeatherDelay,1.24
12,Allegiant Air,NASDelay,2.81
12,Allegiant Air,SecurityDelay,0.07
12,Allegiant Air,LateAircraftDelay,6.69
12,PSA ,CarrierDelay,3.68
12,PSA ,WeatherDelay,0.48
12,PSA ,NASDelay,2
12,PSA ,SecurityDelay,0.02
12,PSA ,LateAircraftDelay,7.17
12,Endeavor Air,CarrierDelay,3.66
12,Endeavor Air,WeatherDelay,1.02
12,Endeavor Air,NASDelay,2.89
12,Endeavor Air,SecurityDelay,0.01
12,Endeavor Air,LateAircraftDelay,5.66
