Airport,Outbound,Tag,index
ATL,1913509,2,0
ORD,1496637,2,1
DFW,1221494,2,2
DEN,1151507,2,3
LAX,1081119,2,4
SFO,855934,2,5
PHX,822660,2,6
CLT,802480,2,7
IAH,779690,2,8
LAS,773408,2,9
MSP,706861,2,10
DTW,688279,2,11
SEA,673951,2,12
BOS,663482,2,13
MCO,659132,2,14
LGA,640848,2,15
EWR,623101,2,16
SLC,554888,2,17
JFK,551148,2,18
DCA,504728,2,19
BWI,502725,2,20
PHL,454570,2,21
FLL,448743,2,22
MDW,434373,2,23
SAN,422824,2,24
MIA,390009,2,25
TPA,358290,2,26
DAL,349030,2,27
BNA,315670,2,28
PDX,298490,2,29
STL,298433,2,30
HOU,283639,2,31
AUS,274545,2,32
OAK,251347,2,33
SJC,250457,2,34
MSY,246899,2,35
IAD,246429,2,36
HNL,243945,2,37
MCI,242013,2,38
RDU,230680,2,39
SMF,225751,2,40
SNA,207504,2,41
CLE,205557,2,42
IND,179868,2,43
PIT,179473,2,44
SAT,176548,2,45
CMH,167112,2,46
MKE,158606,2,47
RSW,155500,2,48
CVG,154086,2,49
SJU,129215,2,50
BUR,126799,2,51
PBI,124195,2,52
OGG,122787,2,53
JAX,120811,2,54
BDL,120057,2,55
ABQ,106813,2,56
OMA,106793,2,57
BUF,105309,2,58
ONT,104101,2,59
RIC,96781,2,60
OKC,95695,2,61
MEM,93885,2,62
CHS,91163,2,63
ANC,89139,2,64
TUS,85448,2,65
RNO,82245,2,66
BOI,81683,2,67
ORF,80205,2,68
SDF,78190,2,69
TUL,77197,2,70
PVD,75490,2,71
BHM,75316,2,72
LGB,69726,2,73
ELP,69219,2,74
KOA,68532,2,75
GRR,68436,2,76
LIH,63951,2,77
DSM,57582,2,78
SAV,56683,2,79
GEG,56435,2,80
TYS,55402,2,81
LIT,54989,2,82
MSN,54014,2,83
ROC,52150,2,84
ALB,51873,2,85
PSP,51784,2,86
GSP,50306,2,87
DAY,49473,2,88
XNA,47845,2,89
FAT,47807,2,90
GSO,46640,2,91
SYR,46419,2,92
ICT,45996,2,93
COS,45432,2,94
HPN,43559,2,95
PNS,42288,2,96
MYR,40952,2,97
PWM,40821,2,98
MAF,37706,2,99
MHT,37629,2,100
BTR,36587,2,101
LEX,36243,2,102
CID,35826,2,103
JAN,33415,2,104
SBA,32274,2,105
CAK,31557,2,106
SHV,31276,2,107
HSV,31233,2,108
CHA,30697,2,109
ITO,30667,2,110
BTV,30010,2,111
VPS,29702,2,112
FWA,29648,2,113
SGF,29537,2,114
SBN,29394,2,115
CAE,28131,2,116
FSD,27943,2,117
LBB,27357,2,118
AVL,27271,2,119
ASE,26910,2,120
ISP,26414,2,121
MOB,26238,2,122
BZN,25848,2,123
ECP,25619,1,124
FAR,25044,1,125
SRQ,24899,1,126
GRB,23418,1,127
CRP,22384,1,128
JNU,22358,1,129
MDT,21818,1,130
AMA,21215,1,131
LFT,21068,1,132
PIA,21000,1,133
FNT,20885,1,134
TLH,20816,1,135
EUG,20800,1,136
SFB,20336,1,137
SBP,20214,1,138
ILM,20210,1,139
STT,20043,1,140
JAC,19899,1,141
MLI,19446,1,142
RAP,18957,1,143
CHO,18533,1,144
MFE,18226,1,145
GPT,18215,1,146
BIL,18093,1,147
MFR,17848,1,148
EVV,17832,1,149
ATW,17710,1,150
ACY,17426,1,151
FAI,17087,1,152
HRL,16789,1,153
GJT,16778,1,154
RDM,16672,1,155
AGS,16670,1,156
MRY,16617,1,157
TVC,16595,1,158
GNV,16371,1,159
BIS,16348,1,160
CRW,16303,1,161
ABE,16202,1,162
PSC,16144,1,163
EYW,15894,1,164
MGM,15404,1,165
PIE,15212,1,166
AEX,14810,1,167
MLU,14605,1,168
MSO,14312,1,169
GRK,14181,1,170
LAN,13826,1,171
DLH,13173,1,172
TTN,12981,1,173
RST,12972,1,174
LNK,12922,1,175
BMI,12876,1,176
SGU,12709,1,177
DAB,12458,1,178
FCA,12422,1,179
BFL,12392,1,180
FAY,12373,1,181
KTN,12219,1,182
TRI,11926,1,183
DRO,11884,1,184
MBS,11876,1,185
AVP,11823,1,186
IDA,11621,1,187
ROA,11599,1,188
LRD,11558,1,189
AZO,11447,1,190
BRO,10993,1,191
AZA,10965,1,192
PGD,10867,1,193
MOT,10087,1,194
BGR,9649,1,195
CLL,9566,1,196
MLB,9533,1,197
OAJ,9323,1,198
BQN,9287,1,199
GTF,9229,1,200
CWA,8999,1,201
EGE,8877,1,202
LSE,8740,1,203
PHF,8693,1,204
YUM,8688,1,205
FSM,8551,1,206
LCH,8465,1,207
SPI,8231,1,208
FLG,8181,1,209
HLN,8096,1,210
GFK,7910,1,211
ISN,7594,1,212
CMI,7593,1,213
ACV,7552,1,214
SAF,7480,1,215
ABI,7027,1,216
ACT,6911,1,217
SIT,6839,1,218
DHN,6765,1,219
SJT,6731,1,220
COU,6646,1,221
MHK,6519,1,222
SUN,6451,1,223
SCE,6440,1,224
SWF,6358,1,225
EWN,6323,1,226
CPR,6232,1,227
MTJ,6161,1,228
BLI,6104,1,229
TYR,6065,1,230
LAW,5984,1,231
CSG,5797,1,232
LBE,5732,1,233
TWF,5644,1,234
TOL,5454,1,235
RDD,5409,1,236
ELM,5366,1,237
STS,5346,1,238
ERI,5275,1,239
STX,5226,1,240
GTR,5189,1,241
MEI,5103,1,242
PLN,5053,1,243
PIH,4971,1,244
JMS,4792,1,245
VLD,4792,1,246
SPS,4792,1,247
BQK,4762,0,248
GCC,4740,0,249
HDN,4730,0,250
ROW,4722,0,251
MQT,4680,0,252
ABY,4609,0,253
BET,4582,0,254
TXK,4465,0,255
SCC,4420,0,256
RHI,4381,0,257
ORH,4369,0,258
BRW,4232,0,259
HYS,4206,0,260
PAH,4105,0,261
PSE,4031,0,262
ACK,3964,0,263
BGM,3948,0,264
HIB,3894,0,265
ITH,3857,0,266
COD,3821,0,267
LWS,3816,0,268
ABR,3708,0,269
BJI,3668,0,270
CMX,3647,0,271
WRG,3628,0,272
PSG,3628,0,273
YAK,3617,0,274
CDV,3616,0,275
OTZ,3612,0,276
OME,3611,0,277
JLN,3540,0,278
EAU,3537,0,279
MKG,3534,0,280
RKS,3494,0,281
GRI,3480,0,282
BPT,3464,0,283
PBG,3439,0,284
BTM,3435,0,285
CIU,3382,0,286
PIB,3378,0,287
IMT,3363,0,288
HOB,3305,0,289
CDC,3259,0,290
SUX,3239,0,291
EKO,3203,0,292
BRD,3192,0,293
INL,3177,0,294
APN,3138,0,295
LAR,3133,0,296
ESC,3127,0,297
DBQ,3073,0,298
DVL,3049,0,299
IAG,2941,0,300
ADQ,2931,0,301
GGG,2834,0,302
GCK,2798,0,303
HHH,2767,0,304
GUM,2559,0,305
ALO,2524,0,306
USA,2370,0,307
PUB,2154,0,308
LCK,2119,0,309
HVN,2114,0,310
BLV,2036,0,311
LYH,1981,0,312
SCK,1782,0,313
CKB,1776,0,314
MVY,1749,0,315
SWO,1676,0,316
OTH,1668,0,317
SMX,1646,0,318
UIN,1644,0,319
CGI,1631,0,320
PAE,1624,0,321
SLN,1623,0,322
HTS,1590,0,323
RFD,1422,0,324
GUC,1379,0,325
SHD,1370,0,326
PVU,1278,0,327
CNY,1249,0,328
LWB,1241,0,329
BFF,1199,0,330
LBF,1194,0,331
LBL,1186,0,332
WYS,1167,0,333
VEL,1152,0,334
MMH,1095,0,335
DIK,999,0,336
PGV,976,0,337
PRC,973,0,338
EAR,884,0,339
DRT,837,0,340
SPN,731,0,341
PSM,728,0,342
OGS,666,0,343
PIR,657,0,344
CLD,641,0,345
PPG,598,0,346
CYS,573,0,347
ATY,523,0,348
ADK,521,0,349
HYA,470,0,350
UST,430,0,351
GST,411,0,352
DLG,411,0,353
STC,364,0,354
IFP,364,0,355
HGR,321,0,356
AKN,313,0,357
BKG,302,0,358
ART,270,0,359
OGD,231,0,360
OWB,213,0,361
XWA,207,0,362
CEC,190,0,363
FLO,170,0,364
BFM,158,0,365
ILG,100,0,366
YNG,2,0,367
TKI,1,0,368
ENV,1,0,369
EFD,1,0,370
